fromNode	toNode	weight	cluster
0	20	1	1
0	1	1	1
20	40	1	1
20	21	1	1
40	20	1	1
40	60	1	1
40	41	1	1
60	40	1	1
60	61	1	1
100	120	1	1
100	101	1	1
120	100	1	1
120	140	1	1
120	121	1	1
140	120	1	1
140	160	1	1
140	141	1	1
160	140	1	1
160	180	1	1
160	161	1	1
180	160	1	1
180	181	1	1
1	21	1	1
1	2	1	1
1	0	1	1
21	1	1	1
21	41	1	1
21	22	1	1
21	20	1	1
41	21	1	1
41	61	1	1
41	42	1	1
41	40	1	1
61	41	1	1
61	62	1	1
61	60	1	1
101	121	1	1
101	102	1	1
101	100	1	1
121	101	1	1
121	141	1	1
121	122	1	1
121	120	1	1
141	121	1	1
141	161	1	1
141	142	1	1
141	140	1	1
161	141	1	1
161	181	1	1
161	162	1	1
161	160	1	1
181	161	1	1
181	182	1	1
181	180	1	1
2	22	1	1
2	3	1	1
2	1	1	1
22	2	1	1
22	42	1	1
22	23	1	1
22	21	1	1
42	22	1	1
42	62	1	1
42	43	1	1
42	41	1	1
62	42	1	1
62	82	1	1
62	63	1	1
62	61	1	1
82	62	1	1
82	102	1	1
102	82	1	1
102	122	1	1
102	103	1	1
102	101	1	1
122	102	1	1
122	142	1	1
122	123	1	1
122	121	1	1
142	122	1	1
142	162	1	1
142	143	1	1
142	141	1	1
162	142	1	1
162	182	1	1
162	163	1	1
162	161	1	1
182	162	1	1
182	183	1	1
182	181	1	1
3	23	1	1
3	4	1	1
3	2	1	1
23	3	1	1
23	43	1	1
23	24	1	1
23	22	1	1
43	23	1	1
43	63	1	1
43	44	1	1
43	42	1	1
63	43	1	1
63	64	1	1
63	62	1	1
103	123	1	1
103	104	1	1
103	102	1	1
123	103	1	1
123	143	1	1
123	124	1	1
123	122	1	1
143	123	1	1
143	163	1	1
143	144	1	1
143	142	1	1
163	143	1	1
163	183	1	1
163	164	1	1
163	162	1	1
183	163	1	1
183	184	1	1
183	182	1	1
4	24	1	1
4	3	1	1
24	4	1	1
24	44	1	1
